Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;CPU Kühler;I250PWM (70 mm);10144489; CHF 5.76 ;1;; CHF 5.76 ;AJ;;;;;
24.05.2024;;CPU Wasserkühler;Silent Loop 2;15621143; CHF 126.69 ;1;; CHF 126.69 ;AJ;;;;;
;;CPU Wasserkühler;iCUE H150i Elite Capellix XT;24024840; CHF 126.68 ;1;; CHF 126.68 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Crypto Wallet;Nano X;10296605; CHF 122.41 ;2;; CHF 244.82 ;AJ;;;;;
24.05.2024;;Crypto Wallet;Nano S Plus;20455291; CHF 61.43 ;2;; CHF 122.86 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Dockingstation+USB Hub;ST-SCMA2M;10093770; CHF 40.63 ;1;; CHF 40.63 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Dockingstation+USB Hub;Surface Dock 2;13070967; CHF 149.05 ;1;; CHF 149.05 ;AJ;;;;;
24.05.2024;;Dockingstation+USB Hub;HP Thunderbolt Dock G4;21359396; CHF 172.46 ;1;; CHF 172.46 ;AJ;;;;;
24.05.2024;;Dockingstation+USB Hub;Hama USB-C-Hub;16185208; CHF 17.13 ;1;; CHF 17.13 ;AJ;;;;;
24.05.2024;;Dockingstation+USB Hub;USB-Hub (4 Ports);13274594; CHF 9.68 ;1;; CHF 9.68 ;AJ;;;;;
24.05.2024;;Dockingstation+USB Hub;4 Port-C Hub (USB C);15825437; CHF 18.90 ;1;; CHF 18.90 ;AJ;;;;;
24.05.2024;;Drohne;"DJI Mini 3 (38 min; 248 g; 12 Mpx)";23253715; CHF 426.10 ;1;; CHF 426.10 ;AJ;;;;;
;;Drohne;"Mini 3 mit RC Controller und Fly More Combo (38 min; 248 g; 12 Mpx)";23253712; CHF 574.74 ;1;; CHF 574.74 ;AJ;;;;;
;;Drohne;"Mini 4 Pro Fly More Combo (34 min; 249 g; 48 Mpx)";38699113; CHF 787.81 ;1;; CHF 787.81 ;AJ;;;;;
24.05.2024;;Drohnen Zubehör ;DJI Mini 3 Pro Intelligent Flight Battery;20805459; CHF 56.45 ;1;; CHF 56.45 ;AJ;;;;;
