Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;Kaffeevollautomat;PrimaDonna Soul;13933591; CHF 703.98 ;1;; CHF 703.98 ;AJ;;;;;
24.05.2024;;Kaffeevollautomat;Magnifica S;289510; CHF 261.60 ;1;; CHF 261.60 ;AJ;;;;;
;;Kaffeevollautomat;Finessa ;5776111; CHF 213.85 ;1;; CHF 213.85 ;AJ;;;;;
;;Kaffeevollautomat;3300 Series EP3347/90;37661653; CHF 344.37 ;1;; CHF 344.37 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Kamera;Alpha 7S III Body;13460822;" CHF 3;481.34 ";1;;" CHF 3;481.34 ";AJ;;;;;
24.05.2024;Top 1000 Artikel;Kamera;EOS R5 Body;13410067;" CHF 3;891.92 ";1;;" CHF 3;891.92 ";AJ;;;;;
24.05.2024;;Kamera;Alpha 7 III Kit (28-70mm;7950797;" CHF 1;994.57 ";1;;" CHF 1;994.57 ";AJ;;;;;
24.05.2024;;Kamera;"Alpha 7 IV (33 Mpx; Vollformat)";17071964;" CHF 2;146.99 ";1;;" CHF 2;146.99 ";AJ;;;;;
24.05.2024;;Kamera;"EOS 2000D (18 - 55 mm; 24.10 Mpx; APS-C / DX)";7938933; CHF 327.09 ;1;; CHF 327.09 ;AJ;;;;;
24.05.2024;;Kamera;DC5200 (21 Mpx);14919336; CHF 38.26 ;1;; CHF 38.26 ;AJ;;;;;
24.05.2024;;Kamera;"Alpha ZV-E10L (16 - 50 mm; 24 Mpx; APS-C / DX)";16312439; CHF 659.27 ;1;; CHF 659.27 ;AJ;;;;;
24.05.2024;;Kamera;"Alpha 6400 (16 - 50 mm; 24.20 Mpx; APS-C / DX)";10328244; CHF 952.41 ;1;; CHF 952.41 ;AJ;;;;;
;;Kamera;DC5200 (21 Mpx);12560933; CHF 41.47 ;1;; CHF 41.47 ;AJ;;;;;
;;Kamera;"Tough TG-7 (25 - 100 mm; 12 Mpx; 1/2;3'')";38605810; CHF 412.99 ;1;; CHF 412.99 ;AJ;;;;;
24.05.2024;;Kapselmaschine;Citiz (NESPRESSO Original);6147854; CHF 92.20 ;1;; CHF 92.20 ;AJ;;;;;
;;Kapselmaschine;Inissia (NESPRESSO Original);6148321; CHF 59.73 ;1;; CHF 59.73 ;AJ;;;;;
;;Kapselmaschine;Lattissima One (NESPRESSO Original);15835061; CHF 151.18 ;1;; CHF 151.18 ;AJ;;;;;
24.05.2024;Top Galaxus;Kennzeichenhalter;"MB-Klick (Front + Heck; Rechteckig)";13808235; CHF 9.90 ;2;; CHF 19.80 ;AJ;;;;;
24.05.2024;;Kennzeichenhalter;"Wechselnummernrahmenhalter (Front + Heck; Langformat)";2745597; CHF 24.08 ;1;; CHF 24.08 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Kopfhörer;WH-1000XM4;13366514; CHF 222.71 ;3;; CHF 668.13 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Kopfhörer;"EarPods (0 h; Kabelgebunden)";6185119; CHF 8.04 ;3;; CHF 24.13 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Elite 7 Active (ANC; 8 h; Kabellos)";16767621; CHF 128.69 ;1;; CHF 128.69 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Fit Pro (ANC; 6 h; Kabellos)";18386484; CHF 125.50 ;2;; CHF 251.00 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Go Air Pop (8 h; Kabellos)";17516084; CHF 14.11 ;2;; CHF 28.22 ;AJ;;;;;
24.05.2024;;Kopfhörer;"OpenRun Pro (10 h; Kabellos)";18766295; CHF 119.09 ;1;; CHF 119.09 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Go Air Sport (8 h; Kabellos)";20929820; CHF 18.51 ;2;; CHF 37.02 ;AJ;;;;;
24.05.2024;;Kopfhörer;"WF-C500 (10 h; Kabellos)";16698578; CHF 38.06 ;1;; CHF 38.06 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Linkbuds S (ANC; 6 h; Kabellos)";20761676; CHF 117.57 ;1;; CHF 117.57 ;AJ;;;;;
24.05.2024;;Kopfhörer;"AirPods (3rd Gen.) MagSafe Case (6 h; Kabellos)";17080520; CHF 146.64 ;5;; CHF 733.20 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Galaxy Buds2 Pro (ANC; 5 h; Kabellos)";21618879; CHF 136.32 ;1;; CHF 136.32 ;AJ;;;;;
24.05.2024;;Kopfhörer;"Pixel Buds Pro (ANC; 7 h; Kabellos)";21598756; CHF 145.50 ;1;; CHF 145.50 ;AJ;;;;;
24.05.2024;;Kopfhörer;"EarPods (0 h; Kabelgebunden)";5897211; CHF 12.43 ;3;; CHF 37.29 ;AJ;;;;;
24.05.2024;;Kopfhörer;"AirPods (2nd Gen.) Charging Case (5 h; Kabellos)";10802238; CHF 108.08 ;5;; CHF 540.40 ;AJ;;;;;
24.05.2024;;Kopfhörer;"AirPods (3rd Gen.) Lightning Case (6 h; Kabellos)";21998094; CHF 142.98 ;5;; CHF 714.90 ;AJ;;;;;
24.05.2024;;Kopfhörer;"WH-1000XM5 (ANC; 30 h; Kabelgebunden; Kabellos)";20761668; CHF 269.30 ;3;; CHF 807.90 ;AJ;;;;;
24.05.2024;;Kopfhörer;"WH-1000XM5 (ANC; 30 h; Kabellos)";20761669; CHF 278.92 ;1;; CHF 278.92 ;AJ;;;;;
20.09.2024;;Kopfhörer;"Pixel Buds Pro (ANC; 20 h; Kabellos)";22614213; CHF 129.02 ;1;; CHF 129.02 ;AJ;;;;;
20.09.2024;;Kopfhörer;"WF-1000XM5 (ANC; 6 h; Kabellos)";36157145; CHF 211.19 ;1;; CHF 211.19 ;AJ;;;;;
20.09.2024;;Kopfhörer;"Ear (2) (ANC; 4 h; Kabellos)";24596246; CHF 90.85 ;1;; CHF 90.85 ;AJ;;;;;
20.09.2024;;Kopfhörer;"AirPods Pro (2nd Gen.) MagSafe USB-C (ANC; 6 h; Kabellos)";38610474; CHF 200.25 ;1;; CHF 200.25 ;AJ;;;;;
;;Kopfhörer;USB Type-C EO-IC100 (Kabelgebunden);12697551; CHF 9.42 ;2;; CHF 18.84 ;AJ;;;;;
;;Kopfhörer;"Galaxy Buds FE (ANC; 3.50 h; Kabellos)";39171977; CHF 57.72 ;1;; CHF 57.72 ;AJ;;;;;
;;Kopfhörer;"WH-CH720N (NC; 35 h; Kabellos)";24182707; CHF 73.03 ;1;; CHF 73.03 ;AJ;;;;;
;;Kopfhörer;"Redmi Buds 4 Active (NC; 28 h; Kabellos)";36738401; CHF 13.25 ;1;; CHF 13.25 ;AJ;;;;;
;;Kopfhörer;"Elite 8 Active (ANC; 8 h; Kabellos) ";37282797; CHF 113.92 ;1;; CHF 113.92 ;AJ;;;;;
;;Kopfhörer;"AirPods Max 2024 (ANC; 20 h; Kabellos)";49221290; CHF 401.61 ;1;; CHF 401.61 ;AJ;;;;;
;;Kopfhörer;"AirPods Max 2024 (ANC; 20 h; Kabellos)";49221291; CHF 401.77 ;1;; CHF 401.77 ;AJ;;;;;
;;Kopfhörer;"AirPods Max 2024 (ANC; 20 h; Kabellos)";49221292; CHF 401.60 ;1;; CHF 401.60 ;AJ;;;;;
;;Kopfhörer;"AirPods Max 2024 (ANC; 20 h; Kabellos)";49221293; CHF 401.66 ;1;; CHF 401.66 ;AJ;;;;;
;;Kopfhörer;"AirPods 4 (ANC; 4 h; Kabellos)";49221298; CHF 144.55 ;5;; CHF 722.75 ;AJ;;;;;
;;Kopfhörer;"AirPods 4 (keine Geräuschunterdrückung; 5 h; Kabellos)";49221297; CHF 103.83 ;5;; CHF 519.15 ;AJ;;;;;
;;Kopfhörer;" Ace (ANC; 30 h; Kabellos)";45373116;;1;; CHF -   ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Kopierpapier;Plano Speed;14756490; CHF 12.20 ;1;; CHF 12.20 ;AJ;;;;;
24.05.2024;;Küchenmaschine;MUM5XW20 (1000 W);12932747; CHF 218.04 ;1;; CHF 218.04 ;AJ;;;;;
24.05.2024;;Küchenmaschine;Artisan KSM175 (300 W);6075969; CHF 468.88 ;1;; CHF 468.88 ;AJ;;;;;
24.05.2024;;Küchenmaschine;Titanium Chef Baker (1200 W);16521856; CHF 364.64 ;1;; CHF 364.64 ;AJ;;;;;
24.05.2024;;Küchenwaage;KS 19;726577; CHF 8.61 ;1;; CHF 8.61 ;AJ;;;;;
24.05.2024;;Küchenwaage;Digitale Backwaage;5882871; CHF 17.51 ;1;; CHF 17.51 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;LED Streifen;Hue Lightstrips Basis BT;13274601; CHF 60.20 ;4;; CHF 240.78 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;LED Streifen;Hue Lightstrips BT Erweiterung;13274726; CHF 22.80 ;4;; CHF 91.20 ;AJ;;;;;
24.05.2024;;LED Streifen;"Hue Gradient Ambiance Basis (Mehrfarbig; 200 cm)";16467480; CHF 93.75 ;1;; CHF 93.75 ;AJ;;;;;
24.05.2024;;Leuchtmittel;"Hue White & Color BT (E14; 5.30 W; 470 lm; 2 x)";13655120; CHF 66.86 ;1;; CHF 66.86 ;AJ;;;;;
24.05.2024;;Leuchtmittel;"Hue White Ambiance BT (E14; 5.20 W; 470 lm; 2 x)";13655122; CHF 29.57 ;1;; CHF 29.57 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Luftbefeuchter;Series 2000;6184646; CHF 84.38 ;1;; CHF 84.38 ;AJ;;;;;
24.05.2024;;Luftbefeuchter;Smart Humidifier 2;22851555; CHF 41.68 ;1;; CHF 41.68 ;AJ;;;;;
24.05.2024;;Luftbefeuchter;Oskar (50 m²);217655; CHF 93.67 ;1;; CHF 93.67 ;AJ;;;;;
24.05.2024;;Luftbefeuchter;Oskar little (30 m²);5606718; CHF 68.99 ;1;; CHF 68.99 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Luftbehandlung Zubehör;Verdunsterkassetten;362480; CHF 18.48 ;1;; CHF 18.48 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Luftbehandlung Zubehör;Filtermatte für Luftbefeuchter;12103085; CHF 11.34 ;2;; CHF 22.68 ;AJ;;;;;
24.05.2024;;Luftbehandlung Zubehör;Oskar / Karl Filter (2-er Pack);362478; CHF 10.87 ;1;; CHF 10.87 ;AJ;;;;;
24.05.2024;;Luftbehandlung Zubehör;Antikalkkartusche;289226; CHF 10.87 ;1;; CHF 10.87 ;AJ;;;;;
24.05.2024;;Luftreiniger;Mi Air Purifier 4 (48 m²);19112333; CHF 121.30 ;1;; CHF 121.30 ;AJ;;;;;
24.05.2024;;Luftreiniger;Series 800 (49 m²);12291966; CHF 93.98 ;1;; CHF 93.98 ;AJ;;;;;
24.05.2024;;Mainboard;"ROG STRIX B550-A GAMING (AM4; AMD B550; ATX)";14037206; CHF 107.19 ;1;; CHF 107.19 ;AJ;;;;;
24.05.2024;;Mainboard;"Z790 AORUS ELITE AX (LGA 1700; Intel Z790; ATX)";22542267; CHF 230.29 ;1;; CHF 230.29 ;AJ;;;;;
24.05.2024;;Mainboard;"ROG Strix Z790-E Gaming Wifi (LGA 1700; Intel Z790; ATX)";22513983; CHF 428.61 ;1;; CHF 428.61 ;AJ;;;;;
24.05.2024;;Mainboard;"Prime Z790-P (LGA 1700; Intel Z790; ATX)";22514027; CHF 195.54 ;1;; CHF 195.54 ;AJ;;;;;
;;Mainboard;"ROG Strix B650-A Gaming Wifi (AM5; AMD B650; ATX)";22605346; CHF 178.53 ;1;; CHF 178.53 ;AJ;;;;;
;;Mainboard;"ROG Strix B550-F Gaming Wifi II (AM4; AMD B550; ATX)";17442536; CHF 122.18 ;1;; CHF 122.18 ;AJ;;;;;
;;Mainboard;"MAG Z790 TOMAHAWK WIFI (LGA 1700; Intel Z790; ATX)";22726088; CHF 189.17 ;1;; CHF 189.17 ;AJ;;;;;
;;Mainboard;"PRIME B450M-A II (AM4; AMD B450; mATX)";13984513; CHF 42.67 ;1;; CHF 42.67 ;AJ;;;;;
24.05.2024;;Maus;G502 X Plus (Kabellos);21922783; CHF 100.42 ;1;; CHF 100.42 ;AJ;;;;;
24.05.2024;;Maus;M220 Silent (Kabellos);5888896; CHF 11.27 ;1;; CHF 11.27 ;AJ;;;;;
24.05.2024;;Maus;G502 Hero (Kabelgebunden);9621054; CHF 36.47 ;1;; CHF 36.47 ;AJ;;;;;
24.05.2024;;Maus;Marathon M705 (Kabellos);14153870; CHF 20.55 ;3;; CHF 61.65 ;AJ;;;;;
24.05.2024;;Maus;Basilisk V3 Pro (Kabellos);21880481; CHF 88.01 ;1;; CHF 88.01 ;AJ;;;;;
24.05.2024;;Maus;M330 Silent Plus (Kabellos);5890966; CHF 20.18 ;1;; CHF 20.18 ;AJ;;;;;
24.05.2024;;Maus;M500s (Kabelgebunden);13878565; CHF 21.54 ;1;; CHF 21.54 ;AJ;;;;;
24.05.2024;;Maus;M720 Triathlon (Kabellos);5891309; CHF 35.56 ;1;; CHF 35.56 ;AJ;;;;;
24.05.2024;;Maus;Model O (Kabellos);14459812; CHF 55.93 ;1;; CHF 55.93 ;AJ;;;;;
24.05.2024;;Maus;B100 (Kabelgebunden);767727; CHF 4.83 ;3;; CHF 14.49 ;AJ;;;;;
24.05.2024;;Maus;M280 (Kabellos);5751445; CHF 15.42 ;1;; CHF 15.42 ;AJ;;;;;
24.05.2024;;Maus;MX Master 3S (Kabellos);20987854; CHF 73.21 ;3;; CHF 219.63 ;AJ;;;;;
24.05.2024;;Maus;Surface Arc (Kabellos);6421003; CHF 45.37 ;1;; CHF 45.37 ;AJ;;;;;
24.05.2024;;Maus;Magic Mouse 3;17438258; CHF 64.86 ;2;; CHF 129.71 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Maus;Pro X Superlight;14568207; CHF 92.03 ;1;; CHF 92.03 ;AJ;;;;;
;;Maus;Lift (Kabellos);20529490; CHF 43.98 ;1;; CHF 43.98 ;AJ;;;;;
;;Maus;Signature M650 L (Kabellos);18342917; CHF 27.59 ;1;; CHF 27.59 ;AJ;;;;;
;;Maus;MX Anywhere 3s (Kabellos);35791643; CHF 64.21 ;1;; CHF 64.21 ;AJ;;;;;
;;Maus;Magic Mouse 2022 (Kabellos);19822997; CHF 72.75 ;1;; CHF 72.75 ;AJ;;;;;
;;Maus;Signature M650 M (Kabellos);18210845; CHF 26.04 ;1;; CHF 26.04 ;AJ;;;;;
;;Maus;"M235 Maus; kabellos (Kabellos)";5751482; CHF 13.94 ;1;; CHF 13.94 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Mikrofon;Wireless GO II;14902131; CHF 227.29 ;1;; CHF 227.29 ;AJ;;;;;
24.05.2024;;Mikrofon;"NT-USB+ (Live; Interview / Vortrag; Karaoke; Videografie)";23129617; CHF 131.22 ;1;; CHF 131.22 ;AJ;;;;;
24.05.2024;;Mikrofon;"VideoMic GO II (Interview / Vortrag; Videografie)";18323292; CHF 75.85 ;1;; CHF 75.85 ;AJ;;;;;
24.05.2024;;Mikrofon;"Wave:3 (Podcasting; Allround; Studio; Broadcast)";13313875; CHF 111.59 ;1;; CHF 111.59 ;AJ;;;;;
24.05.2024;;Mikrofon;"NT-USB (Home-Studio; Podcasting)";3450705; CHF 123.09 ;1;; CHF 123.09 ;AJ;;;;;
24.05.2024;;Mikrofon;QuadCast (Broadcast);10714120; CHF 81.67 ;1;; CHF 81.67 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Mobilgerät Adapter;Kopfhöreranschluss Adapter;5897235; CHF 6.80 ;5;; CHF 34.00 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Mobilgerät Adapter;USB-C Audio-Adapter;11539722; CHF 6.12 ;2;; CHF 12.24 ;AJ;;;;;
24.05.2024;;Mobilgerät Adapter;"USB-C to USB-A Adaptor (USB Typ C; USB A)";21164284; CHF 4.36 ;2;; CHF 8.72 ;AJ;;;;;
24.05.2024;;Mobilgerät Adapter;USB-Adapter C to A;7042038; CHF 5.49 ;2;; CHF 10.98 ;AJ;;;;;
24.05.2024;;Mobilgerät Adapter;"Multiport (USB Typ C; USB Typ C; HDMI (Typ A); USB A)";12248451; CHF 54.48 ;1;; CHF 54.48 ;AJ;;;;;
24.05.2024;;Mobilgerät Adapter;"Lightning Digital AV Adapter (Lightning; Lightning; HDMI (Typ A))";375205; CHF 37.14 ;1;; CHF 37.14 ;AJ;;;;;
24.05.2024;;Mobilgerät Adapter;"Type-C male to USB (USB Typ C; USB A)";17739770; CHF 3.51 ;2;; CHF 7.02 ;AJ;;;;;
24.05.2024;;Monitor;"E24i G4 (1920 x 1200 Pixels; 24"")";14412277; CHF 151.29 ;2;; CHF 302.58 ;AJ;;;;;
24.05.2024;;Monitor;"TUF Gaming VG27AQ1A (2560 x 1440 Pixels; 27"")";13905007; CHF 221.64 ;1;; CHF 221.64 ;AJ;;;;;
;;Monitor;"273V7QDSB/00 (1920 x 1080 Pixel; 27"")";6337353; CHF 80.53 ;1;; CHF 80.53 ;AJ;;;;;
;;Monitor;"Essential S31C (1920 x 1080 Pixel; 24"")";24172708; CHF 69.24 ;2;; CHF 138.48 ;AJ;;;;;
;;Monitor;"ZenScreen MB166C (1920 x 1080 Pixel; 15.60"")";19213745; CHF 105.59 ;1;; CHF 105.59 ;AJ;;;;;
;;Monitor;"S39C (1920 x 1080 Pixel; 27"")";24123744; CHF 122.70 ;1;; CHF 122.70 ;AJ;;;;;
24.05.2024;;Multiroom System;"Era 300 (WLAN; Bluetooth; Airplay 2)";24496292; CHF 363.40 ;1;; CHF 363.40 ;AJ;;;;;
24.05.2024;;Multiroom System;"Era 300 (WLAN; Bluetooth; Airplay 2)";24494457; CHF 363.40 ;1;; CHF 363.40 ;AJ;;;;;
24.05.2024;;Multiroom System;"Era 100 (WLAN; Bluetooth; Airplay 2)";24496004; CHF 216.67 ;2;; CHF 433.34 ;AJ;;;;;
24.05.2024;;Multiroom System;"Era 100 (WLAN; Bluetooth; Airplay 2)";24496293; CHF 216.66 ;2;; CHF 433.32 ;AJ;;;;;
;;Multiroom System;"Beam Gen 2 (WLAN; Airplay 2) ";16685045; CHF 355.50 ;1;; CHF 355.50 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118165; CHF 5.82 ;3;; CHF 17.45 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118145; CHF 2.34 ;5;; CHF 11.68 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118164; CHF 1.36 ;5;; CHF 6.80 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118148; CHF 8.53 ;2;; CHF 17.06 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118144; CHF 1.91 ;5;; CHF 9.56 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118146; CHF 3.22 ;5;; CHF 16.08 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118143; CHF 1.13 ;5;; CHF 5.66 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118160; CHF 1.91 ;5;; CHF 9.57 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118142; CHF 1.05 ;5;; CHF 5.23 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118134; CHF 1.35 ;5;; CHF 6.76 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118151; CHF 2.04 ;5;; CHF 10.22 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118135; CHF 2.34 ;5;; CHF 11.69 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118147; CHF 7.87 ;2;; CHF 15.74 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118136; CHF 3.28 ;5;; CHF 16.42 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118159; CHF 1.13 ;5;; CHF 5.65 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118150; CHF 1.13 ;5;; CHF 5.65 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118169; CHF 2.46 ;5;; CHF 12.32 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118137; CHF 5.65 ;3;; CHF 16.94 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118149; CHF 1.05 ;5;; CHF 5.24 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet Patch Cable RJ45;12118170; CHF 6.16 ;5;; CHF 30.78 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Netzwerkkabel;Ethernet-Patchkabel RJ45;12118146; CHF 3.41 ;5;; CHF 17.05 ;AJ;;;;;
24.05.2024;;Netzwerkkabel;"Netzwerkkabel (U/UTP; CAT6; 10 m)";13114772; CHF 3.28 ;2;; CHF 6.56 ;AJ;;;;;
24.05.2024;;Netzwerkkabel;"Netzwerkkabel (U/UTP; CAT6; 15 m)";13114773; CHF 3.10 ;2;; CHF 6.20 ;AJ;;;;;
24.05.2024;;Netzwerkkabel;"Ethernet-Patchkabel RJ45 (S/FTP; CAT6a; 15 m)";12118161; CHF 8.20 ;2;; CHF 16.40 ;AJ;;;;;
24.05.2024;;Netzwerkkabel;"Ethernet-Patchkabel RJ45 (S/FTP; CAT6a; 20 m)";12118162; CHF 10.27 ;2;; CHF 20.54 ;AJ;;;;;
24.05.2024;;Netzwerkkabel;"Ethernet-Patchkabel RJ45 (S/FTP; CAT6a; 0.30 m)";12118133; CHF 1.11 ;5;; CHF 5.55 ;AJ;;;;;
24.05.2024;;Netzwerkkamera;Tapo C210 (2304 x 1296 Pixels);15994257; CHF 29.05 ;2;; CHF 58.10 ;AJ;;;;;
24.05.2024;;Netzwerkkamera;Circle View (1920 x 1080 Pixels);13313705; CHF 101.21 ;1;; CHF 101.21 ;AJ;;;;;
24.05.2024;;Netzwerkkamera;Tapo C100 Home Security (1920 x 1080 Pixels);13145592; CHF 18.76 ;1;; CHF 18.76 ;AJ;;;;;
;;Netzwerkkamera;Smart Camera C300 (2304 x 1296 Pixels);22849743; CHF 29.19 ;1;; CHF 29.19 ;AJ;;;;;
;;Netzwerkkamera;C400 (2304 x 1296 Pixels);24114712; CHF 33.23 ;1;; CHF 33.23 ;AJ;;;;;
24.05.2024;;Netzwerkspeicher;DS1522+ (0 TB);21362470; CHF 586.56 ;1;; CHF 586.56 ;AJ;;;;;
24.05.2024;;Netzwerkspeicher;DS723+ (0 TB);23607432; CHF 393.98 ;1;; CHF 393.98 ;AJ;;;;;
24.05.2024;;Netzwerkspeicher;DS923+ (0 TB);23108534; CHF 484.91 ;1;; CHF 484.91 ;AJ;;;;;
;;Notebook ;"250 G10 (15.60""; Intel N200; 8 GB; 256 GB; CH)";36992521; CHF 380.73 ;1;; CHF 380.73 ;AJ;;;;;
;;Notebook ;"V15 Gen 4 (15.60""; AMD Ryzen 5 7520U; 16 GB; 512 GB; CH)";24122093; CHF 382.35 ;1;; CHF 382.35 ;AJ;;;;;
;;Notebook ;"V15 Gen 4 (15.60""; Intel Core i5-1335U; 16 GB; 512 GB; CH)";32990544; CHF 471.12 ;1;; CHF 471.12 ;AJ;;;;;
;;Notebook ;"V15 Gen 4 (15.60""; AMD Ryzen 3 7320U; 8 GB; 512 GB; CH)";24122196; CHF 283.55 ;1;; CHF 283.55 ;AJ;;;;;
;;Notebook ;"Pro x360 435 G10 (13.30""; AMD Ryzen 5 7530U; 16 GB; 512 GB; CH)";36992527; CHF 588.27 ;1;; CHF 588.27 ;AJ;;;;;
;;Notebook ;"ProBook 460 G11 (16""; Intel Core Ultra 7 155U; 32 GB; 1000 GB; CH)";46443765;;;;;;;;;;
;;Notebook ;"Vivobook S 16 OLED (16""; AMD Ryzen AI 9 HX 370; 32 GB; 1000 GB; CH)";46283153;;;;;;;;;;
;;Notebook ;"ThinkBook 16 Gen 7 (16""; Intel Core Ultra 7 155H; 32 GB; 1000 GB; CH)";43139738;;;;;;;;;;
;;Notebook ;"Envy x360 14-fa0632nz (14""; AMD Ryzen 7 8840HS; 16 GB; 512 GB; CH)";43708852;;;;;;;;;;
;;Notebook ;"ThinkPad E16 Gen 2 (16""; Intel Core Ultra 5 125U; 16 GB; 1000 GB; CH)";47076779;;;;;;;;;;
;;Notebook ;"EliteBook 660 G11 (16""; Intel Core Ultra 7 155U; 16 GB; 512 GB; CH)";45127253;;;;;;;;;;
;;Notebook ;"ThinkPad E14 Gen 6 (14""; AMD Ryzen 5 7535HS; 16 GB; 512 GB; CH)";47076846;;;;;;;;;;
24.05.2024;;Notebooktasche;"Perfect Skin (12.50""; Universal)";440660; CHF 10.57 ;1;; CHF 10.57 ;AJ;;;;;
24.05.2024;;Notebooktasche;"Versatile A13 (13.30""; Apple; Universal)";15331151; CHF 14.11 ;1;; CHF 14.11 ;AJ;;;;;
24.05.2024;;Notebooktasche;"Perfect Skin (17.30""; Universal)";5993252; CHF 12.75 ;1;; CHF 12.75 ;AJ;;;;;
24.05.2024;;Office Headset;Zone (Kabellos);13686100; CHF 144.57 ;1;; CHF 144.57 ;AJ;;;;;
24.05.2024;;Office Headset;Evolve2 65 MS (Kabellos);13190620; CHF 133.83 ;1;; CHF 133.83 ;AJ;;;;;
24.05.2024;;Office Headset;Evolve 65 Duo MS (Kabellos);6313658; CHF 143.70 ;1;; CHF 143.70 ;AJ;;;;;
24.05.2024;;Office Headset;Evolve 40 (Kabelgebunden);3230867; CHF 59.59 ;1;; CHF 59.59 ;AJ;;;;;
24.05.2024;;Office Headset;H390 (Kabelgebunden);268475; CHF 23.45 ;1;; CHF 23.45 ;AJ;;;;;
;;PC;"Mac Mini – 2024 (M4; 24 GB; 512 GB; Apple M4 10-Core)";52491969;;1;; CHF -   ;AJ;;;;;
;;PC;"Mac Mini – 2024 (M4; 16 GB; 512 GB; Apple M4 10-Core)";52491971;;1;;;;;;;;
24.05.2024;;PC Gehäuse;O11 Dynamic Mini (Mini Tower);14370983; CHF 86.36 ;1;; CHF 86.36 ;AJ;;;;;
24.05.2024;;PC Gehäuse;iCUE 4000X (Midi Tower);13793483; CHF 111.69 ;1;; CHF 111.69 ;AJ;;;;;
24.05.2024;;PC Gehäuse;"Pure Base 500 FX (ATX; mATX; Mini ITX)";21528555; CHF 111.85 ;1;; CHF 111.85 ;AJ;;;;;
24.05.2024;;PC Gehäuse;"PC-O11DX Dynamic (E-ATX; ATX; mATX)";8393857; CHF 115.67 ;1;; CHF 115.67 ;AJ;;;;;
24.05.2024;;PC Gehäuse;"Pure Base 500DX (ATX; mATX; Mini ITX)";13168983; CHF 87.48 ;1;; CHF 87.48 ;AJ;;;;;
